OBJECTID,BDEPT,BIN,AllBridges_2015April_Health_Index,Item_6A,Item_7,Item_8_Bridge_Cat,Item___8_Owner,AllBridges_2015April_Item_16A,AllBridges_2015April_Item__16B,AllBridges_2015April_Item__16C,AllBridges_2015April_Item__17A,AllBridges_2015April_Item__17B,AllBridges_2015April_Item__17C,AllBridges_2015April_Item_26,AllBridges_2015April_Item_28A,AllBridges_2015April_Item_29,AllBridges_2015April_Item_49,AllBridges_2015April_Item_52,AllBridges_2015April_Item_58,AllBridges_2015April_Item_104,AllBridges_2015April_Posting_2_Axle,AllBridges_2015April_Posting_3_Axle,AllBridges_2015April_Posting_5_Axle,AllBridges_2015April_Struct_Def,AllBridges_2015April_Town_Name,AllBridges_2015April_RPA
97,L13027,27P,0.9993,WATER BEAVER BROOK,I 495 NB,NBI,DOT,42,32,34.9223,71,29,22.4771,11,3,62268,14.9,19.5,N,True,0,0,0,False,Littleton,MAPC
98,L13027,27Q,0.9425,WATER BEAVER BROOK,I 495 SB,NBI,DOT,42,32,36.1175,71,29,23.5572,11,3,62268,14.9,19.5,N,True,0,0,0,False,Littleton,MAPC
99,M06012,27Y,0.8659,HWY   BERLIN RD,I 495 NB,NBI,DOT,42,21,32.2704,71,35,8.2458,11,3,43457,44.2,17.1,6,True,0,0,0,False,Marlborough,MAPC
100,M06012,280,0.7791,HWY   BERLIN RD,I 495 SB,NBI,DOT,42,21,32.4684,71,35,10.8888,11,3,42280,44.2,17.1,6,True,0,0,0,False,Marlborough,MAPC
101,M06007,281,0.9653,HWY   DONALD LYNCH BLVD,I 495 NB,NBI,DOT,42,22,1.613,71,35,36.8844,11,3,50000,42.2,17.1,6,True,0,0,0,False,Marlborough,MAPC
102,M06007,282,0.9708,HWY   DONALD LYNCH BLVD,I 495 SB,NBI,DOT,42,21,59.2992,71,35,38.3387,11,3,50000,38.3,17.1,6,True,0,0,0,False,Marlborough,MAPC
103,A02012,286,0.9072,WATER FORT POND BROOK,ST 27 MAIN ST,NBI,DOT,42,27,33.89,71,27,15.05,14,3,12300,6.7,15.2,N,True,0,0,0,False,Acton,MAPC
104,A02037,287,0.6607,ST  2,ST 27 MAIN ST,NBI,DOT,42,28,40.5798,71,26,54.675,14,2,21110,31.1,16.7,6,True,0,0,0,False,Acton,MAPC
105,A14001,28A,0.9434,WATER SUDBURY RIVER,ST135 UNION ST,NBI,DOT,42,15,35.1899,71,27,7.0451,14,2,22800,28,14.6,5,True,0,0,0,False,Ashland,MAPC
106,F07028,28B,0.9929,ST  9 WORCESTER RD,ST126 CONCORD ST,NBI,DOT,42,17,53.6459,71,24,30.9672,14,2,35500,31.4,16,7,True,0,0,0,False,Framingham,MAPC
107,S29007,28D,0.9659,WATER ELIZABETH BROOK,ST 62 GLEASNDLE RD,NBI,DOT,42,25,53.5439,71,30,26.9064,14,2,5746,6.8,16.2,6,True,0,0,0,False,Stow,MAPC
108,S29001,28E,0.5719,WATER ASSABET RIVER,ST 62 GLEASNDLE RD,NBI,DOT,42,24,17.3051,71,31,35.1264,14,2,5746,51.8,13.7,4,True,0,0,0,True,Stow,MAPC
