OBJECTID,AllBridges_2016April_BDEPT,AllBridges_2016April_BIN,AllBridges_2016April_Health_Index,AllBridges_2016April_Item_6A,AllBridges_2016April_Item_7,AllBridges_2016April_Item_8,AllBridges_2016April_Item_8_Bridge_Cat,AllBridges_2016April_Item_8_Owner,AllBridges_2016April_Item_16A,AllBridges_2016April_Item_16B,AllBridges_2016April_Item_16C,AllBridges_2016April_Item_17A,AllBridges_2016April_Item_17B,AllBridges_2016April_Item_17C,AllBridges_2016April_Item_26,AllBridges_2016April_Item_28A,AllBridges_2016April_Item_29,AllBridges_2016April_Item_49,AllBridges_2016April_Item_51,AllBridges_2016April_Item_52,AllBridges_2016April_Item_58,AllBridges_2016April_Item_104,AllBridges_2016April_Posting_2_Axle,AllBridges_2016April_Posting_3_Axle,AllBridges_2016April_Posting_5_Axle,AllBridges_2016April_Struct_Def,AllBridges_2016April_Town_Name
2485,C19021,2DT,0.6608,WATER SUDBURY RIVER,ST  2 CONCORD TPK,C190212DTDOTNBI,NBI,DOT,42,27,6.2712,71,22,18.1848,14,4,44110,26.8,15.7,20.1,N,TRUE,0,0,0,TRUE,Concord
2486,C19022,2DU,1,RR    MBTA/BMRR,ST  2 CONCORD TPK,C190222DUDOTNBI,NBI,DOT,42,27,29.07,71,22,52.95,14,4,57000,21,21.9,23.6,6,TRUE,0,0,0,FALSE,Concord
2487,C19007,2DV,0.6839,WATER ASSABET RIVER,ST  2 ELM ST,C190072DVDOTNBI,NBI,DOT,42,27,56.6388,71,23,28.4639,14,4,46900,23.2,15.2,19.8,N,TRUE,0,0,0,FALSE,Concord
2488,L10019,2DW,0.5653,HWY   PLEASANT ST,ST  2 WB,L100192DWDOTNBI,NBI,DOT,42,25,6.4596,71,12,53.514,12,3,69400,50,15.2,20.3,5,TRUE,0,0,0,FALSE,Lexington
2489,L10019,2DX,0.5813,HWY   PLEASANT ST,ST  2 EB,L100192DXDOTNBI,NBI,DOT,42,25,5.6927,71,12,55.1051,12,3,69400,50,15.2,20.3,6,TRUE,0,0,0,FALSE,Lexington
2490,L10018,2DY,0.7717,HWY   WALTHAM ST,ST  2 EB,L100182DYDOTNBI,NBI,DOT,42,25,18.5,71,13,54.25,12,3,80000,43.9,15.8,21.4,6,TRUE,0,0,0,FALSE,Lexington
2491,L10018,2.00E+00,0.8141,HWY   WALTHAM ST,ST  2 WB,L100182E0DOTNBI,NBI,DOT,42,25,17.5548,71,13,54.3612,12,3,80000,43.9,15.8,21.4,6,TRUE,0,0,0,FALSE,Lexington
2492,L10009,2.00E+01,0.6519,I  95 /ST128,ST  2 WB,L100092E1DOTNBI,NBI,DOT,42,25,41.9843,71,15,30.9635,12,3,39400,99.7,15.8,18.3,4,TRUE,0,0,0,TRUE,Lexington
2493,L10009,2.00E+02,0.7248,I  95 /ST128,ST  2 EB,L100092E2DOTREM,REM,DOT,42,25,40.368,71,15,30.672,12,3,45800,99.7,15.8,18.3,5,TRUE,0,0,0,FALSE,Lexington
2494,W04032,2.00E+03,0.7107,I  95 /ST128,US 20 WB/WESTON ST,W040322E3DOTNBI,NBI,DOT,42,22,21.072,71,16,7.7916,14,2,27600,74.7,11,14.1,5,TRUE,0,0,0,FALSE,Waltham
