OBJECTID,AllBridges_2012April_1_BDEPT,AllBridges_2012April_1_BIN,AllBridges_2012April_1_Health_Index,AllBridges_2012April_1_Item_6A,AllBridges_2012April_1_Item_7,AllBridges_2012April_1_Item_8_Bridge_Cat,AllBridges_2012April_1_Item_8_Owner,AllBridges_2012April_1_Item_16A,AllBridges_2012April_1_Item_16B,AllBridges_2012April_1_Item_16C,AllBridges_2012April_1_Item_17A,AllBridges_2012April_1_Item_17B,AllBridges_2012April_1_Item_17C,AllBridges_2012April_1_Item_26,AllBridges_2012April_1_Item_28A,AllBridges_2012April_1_Item_29,AllBridges_2012April_1_Item_49,AllBridges_2012April_1_Item_52,AllBridges_2012April_1_Item_58,AllBridges_2012April_1_Item_104,AllBridges_2012April_1_Posting_2_Axle,AllBridges_2012April_1_Posting_3_Axle,AllBridges_2012April_1_Posting_5_Axle,AllBridges_2012April_1_Struct_Def,AllBridges_2012April_1_Town_Name
2615,W38026,2HV,0.6713,WATER IPSWICH RIVER     ,I  93 SB          ,NBI,DOT,42,33,9.5364,71,8,18.0204,11,4,135000,12.5,24.4,7,TRUE,0,0,0,FALSE,Wilmington
2616,W38031,2HW,0.8674,HWY   CONCORD ST        ,I  93             ,NBI,DOT,42,33,29.5992,71,8,28.0536,11,8,150000,44.8,52.5,5,TRUE,0,0,0,FALSE,Wilmington
2617,W38036,2HX,0.6482,RR    MBTA/BMRR         ,I  93 SB          ,NBI,DOT,42,35,31.9128,71,10,1.2468,11,4,73300,23.2,21.1,6,TRUE,0,0,0,FALSE,Wilmington
2618,W38037,2HY,0.6992,RR    MBTA/BMRR         ,I  93 NB          ,NBI,DOT,42,35,36.5028,71,10,0.5304,11,4,73300,21.3,21.1,6,TRUE,0,0,0,FALSE,Wilmington
2619,W43039,2J0,0.8515,RR    BMRR SPUR (ABAND) ,I  93 NB OFF RMP  ,NBI,DOT,42,28,42.6216,71,6,51.426,12,2,20200,8.7,18.3,5,TRUE,0,0,0,FALSE,Woburn
2620,W43037,2J1,0.5953,RR    BMRR SPUR (ABAND),I  93             ,NBI,DOT,42,28,42.4632,71,6,52.8948,11,8,170000,10.8,48.6,6,TRUE,0,0,0,FALSE,Woburn
2621,W43040,2J2,0.6321,RR    BMRR SPUR (ABAND) ,I  93 SB ON RAMP ,NBI,DOT,42,28,42.4164,71,6,53.2116,12,1,14000,10.8,9.8,5,TRUE,0,0,0,FALSE,Woburn
2622,W43036,2J3,0.6892,HWY   MONTVALE AVE      ,I  93             ,NBI,DOT,42,28,48.2988,71,6,55.7676,12,8,170000,54.9,51.6,6,TRUE,0,0,0,FALSE,Woburn
2627,Q01046,2J8,0.8439,ST 28 RANDOLPH RD       ,I  93 SB/US1NB,NBI,DOT,42,12,20.8116,71,3,56.4084,12,5,104000,52.7,22,6,TRUE,0,0,0,FALSE,Quincy
2668,W43041,2KH,0.759,WATER ABERJONA RIVER    ,HWY   MONTVALE AVE,NBI,DOT,42,28,47.0496,71,7,6.7764,12,4,41700,8.5,23.9,7,TRUE,0,0,0,FALSE,Woburn
2682,B16177,2KY,1,WATER CHARLES RIVER     ,ST109 SPRING ST   ,NBI,DOT,42,16,14.1204,71,10,25.4136,14,3,37600,38.1,17.5,N,TRUE,0,0,0,FALSE,Boston
2685,S27006,2L2,0.7521,I  93                   ,ST 28 FELLSWAY W  ,NBI,DOT,42,27,32.6772,71,6,9.0036,16,2,19500,124.1,15.8,5,TRUE,0,0,0,TRUE,Stoneham
2700,N12058,2LH,0.8064,WATER CHARLES RIVER     ,ST128 SERVICE RD  ,NBI,DOT,42,20,15.1944,71,15,28.1484,11,3,44700,62.8,30.7,4,TRUE,0,0,0,TRUE,Newton
2725,W29032,2MA,0.9815,OTHER MDC AQUEDUCT      ,I  90 EB OFF RAMP ,NBI,DOT,42,20,42,71,15,48,11,2,25100,8.5,41.5,5,TRUE,0,0,0,FALSE,Weston
2764,W04015,2NH,0.7677,RR    MBTA/BMRR         ,US 20 MAIN ST     ,634,DOT,42,22,38.9424,71,13,28.8912,14,4,27600,71.3,25.9,5,TRUE,0,0,0,FALSE,Waltham
3109,L18019,31A,0.994,WATER GLENMERE LAKE     ,ST107 WESTERN AVE ,NBI,DOT,42,29,9.2868,70,56,28.104,14,2,46900,158.8,15.2,7,TRUE,0,0,0,FALSE,Lynn
3156,S01017,32R,0.6706,RR    MBTA (STORAGE TUN),ST107 BRIDGE ST   ,634,DOT,42,31,25.9392,70,53,46.8708,14,2,17500,57.9,93,N,TRUE,0,0,0,FALSE,Salem
3157,S01018,32T,0.4853,COMB  ST107/BRG ST&MBTA,ST114 NORTH ST    ,634,DOT,42,31,24.672,70,53,57.9768,14,4,32400,42.1,22.1,5,TRUE,20,25,36,FALSE,Salem
3159,S01017,32V,0.6704,RR    MBTA (MAIN LINE)  ,ST107 BRIDGE ST   ,634,DOT,42,31,25.5252,70,53,48.9624,14,2,17500,11,36.1,N,TRUE,0,0,0,FALSE,Salem
3198,R01004,343,0.7092,HWY   CANTON ST         ,ST 24 SB          ,NBI,DOT,42,11,7.1484,71,4,36.03,12,3,69000,20.1,18.3,5,TRUE,0,0,0,FALSE,Randolph
3199,R01006,344,0.543,ST 24 SB CURVE S        ,ST 24 NB CURVE G  ,NBI,DOT,42,12,3.5964,71,4,44.7888,12,2,38000,26.4,13.8,5,TRUE,0,0,0,FALSE,Randolph
3200,D05042,345,0.942,I  95 NB /ST128 NB      ,ST109 HIGH ST     ,NBI,DOT,42,14,39.966,71,12,8.6256,14,4,31600,46.9,23.8,5,TRUE,0,0,0,FALSE,Dedham
3201,D05043,346,0.9629,I  95 SB/ST128 SB       ,ST109 HIGH ST     ,NBI,DOT,42,14,35.5236,71,12,20.3652,14,4,31600,22.8,23.5,6,TRUE,0,0,0,FALSE,Dedham
3205,B21029,34A,0.9725,I  93  ,ST  3 SB          ,NBI,DOT,42,13,35.3064,71,0,56.646,12,3,137000,57.9,14.4,6,TRUE,0,0,0,FALSE,Braintree
3206,D05046,34B,0.9101,I  95 SB/ST128 SB     ,US  1 PROVDNCE HWY,REM,DOT,42,13,40.7784,71,10,56.1576,14,6,24500,27,23.8,5,TRUE,0,0,0,FALSE,Dedham
3207,D05027,34C,0.5543,I  95 NB/ST128 NB     ,US  1 PROVDNCE HWY,REM,DOT,42,13,41.5056,71,10,55.848,14,6,82600,27.4,28.3,7,TRUE,0,0,0,FALSE,Dedham
3208,D05029,34D,0.6693,OTHER REPLACED BY AGU   ,OTHER REMOVED,REM,DOT,42,14,54.1212,71,10,18.7356,14,5,54400,26,23.8,5,TRUE,0,0,0,FALSE,Dedham
3209,D05030,34E,0.5919,OTHER REPLACED BY D05029,OTHER REMOVED,REM,DOT,42,14,47.688,71,10,21.1728,14,5,58000,21.6,23.9,4,TRUE,17,20,27,FALSE,Dedham
3210,D05033,34F,0.5638,WATER MOTHER BROOK      ,HWY   PROVDNCE HWY,NBI,DOT,42,15,19.0764,71,10,15.8844,14,5,58200,29,32.7,4,TRUE,20,25,40,TRUE,Dedham
3212,B21036,34H,0.9484,HWY   LIBERTY ST        ,ST  3             ,NBI,DOT,42,12,10.9008,70,59,7.7352,12,8,145600,19.7,36.1,6,TRUE,0,0,0,FALSE,Braintree
3213,B21035,34J,0.669999978,WATER MONATIQUOT RIVER  ,ST  3             ,NBI,DOT,42,12,23.5404,70,59,42.2592,12,8,142200,16.5,53.1,N,TRUE,0,0,0,FALSE,Braintree
3214,B21034,34K,0.523,HWY   UNION ST S ROTARY,ST  3             ,NBI,DOT,42,12,32.2092,70,59,48.39,12,3,138200,44.5,35.4,7,TRUE,0,0,0,FALSE,Braintree
3216,B21033,34M,0.672,HWY   UNION ST N ROTARY,ST  3             ,NBI,DOT,42,12,39.6936,70,59,50.5032,12,6,136400,43.9,35.5,6,TRUE,0,0,0,FALSE,Braintree
3217,B21062,34N,0.9631,HWY   RAMP C (Q ADAMS)  ,HWY   ON RAMP F,NBI,DOT,42,13,36,71,1,18,12,2,20000,23,9.5,7,TRUE,0,0,0,FALSE,Braintree
3218,B21025,34P,0.7672,COMB  MBTA/CSX & REDS,ST  3 ,NBI,DOT,42,13,10.0632,71,0,2.5236,12,6,145000,36.6,36,7,TRUE,0,0,0,FALSE,Braintree
3219,B21061,34Q,0.896,HWY   RAMP C (Q ADAMS)  ,ST  3 NB          ,NBI,DOT,42,13,36,71,1,18,12,3,138500,23,17.5,5,TRUE,0,0,0,FALSE,Braintree
3220,B21057,34R,0.9683,RR    MBTA        ,HWY   RAMP F      ,NBI,DOT,42,13,36,71,1,12,12,2,19000,20.4,12.2,7,TRUE,0,0,0,FALSE,Braintree
3221,B21058,34T,0.991,ST  3 SB CONNECTOR      ,HWY   RMP J (WASH),NBI,DOT,42,13,36,71,1,18,12,2,10200,47.8,7.7,7,TRUE,0,0,0,FALSE,Braintree
3222,B21059,34U,0.7356,ST  3 NB                ,HWY   RAMP L NB ON,NBI,DOT,42,13,36,71,1,18,12,2,36200,44.5,9.5,7,TRUE,0,0,0,FALSE,Braintree
3223,B21060,34V,0.7038,HWY   RAMP C (Q ADAMS) ,ST  3 SB          ,NBI,DOT,42,13,42,71,1,18,12,4,138200,25.4,17.7,5,TRUE,0,0,0,FALSE,Braintree
3224,B21063,34W,0.9207,ST  3 & RAMPS C&F ,HWY   RAMP CC     ,NBI,DOT,42,13,36,71,1,18,12,2,24000,101.5,10.8,7,TRUE,0,0,0,FALSE,Braintree
3225,B21064,34X,0.7498,HWY   RAMP B NB QA ON RP,HWY   RAMP F      ,NBI,DOT,42,13,36,71,1,18,12,2,15300,41.5,9.5,7,TRUE,0,0,0,FALSE,Braintree
3226,B21066,34Y,1,WATER TOWN BROOK        ,ST  3 & RAMPS    ,NBI,DOT,42,13,36.1056,71,0,33.2712,12,13,145500,6.7,0,N,TRUE,0,0,0,FALSE,Braintree
3227,W32025,350,0.9731,HWY   PLEASANT ST       ,ST  3 SB  ,NBI,DOT,42,11,12.822,70,56,2.49,12,3,60400,20.7,17.6,7,TRUE,0,0,0,FALSE,Weymouth
3228,W32026,351,0.8114,HWY   PLEASANT ST       ,ST  3 NB         ,NBI,DOT,42,11,15.1152,70,56,1.1616,12,3,106400,18.6,13.4,6,TRUE,0,0,0,FALSE,Weymouth
3230,W32027,353,1,WATER MILL RIVER        ,ST  3 ,NBI,DOT,42,11,39.6708,70,57,26.4096,12,8,150000,9.1,46.9,N,TRUE,0,0,0,FALSE,Weymouth
3231,W32030,354,1,WATER MILL RIVER        ,ST  3 RAMPS D&E   ,NBI,DOT,42,11,35.5308,70,57,29.2212,12,2,20400,9.1,29.6,N,TRUE,0,0,0,FALSE,Weymouth
3232,W32021,355,0.6461,HWY   SUMMER ST         ,ST  3             ,NBI,DOT,42,11,57.0948,70,58,14.8008,12,6,141900,19.1,35.5,7,TRUE,0,0,0,FALSE,Weymouth
3233,B21048,356,0.7021,ST 37 GRANITE ST        ,I  93 NB/US1NB ,NBI,DOT,42,13,21.7416,71,1,52.3668,11,4,195000,32.3,22,7,TRUE,0,0,0,FALSE,Braintree
3234,B21029,357,0.5499,I  93 NB                ,I  93 SB CONNECTOR,NBI,DOT,42,13,37.2972,71,1,14.2572,12,3,202600,20.4,14.2,7,TRUE,0,0,0,FALSE,Braintree
3235,R01009,358,0.6591,ST 28 N MAIN ST        ,I  93 NB/US1NB,NBI,DOT,42,12,18.3384,71,3,55.0764,11,5,198000,49.7,22,5,TRUE,0,0,0,FALSE,Randolph
3236,R01005,359,0.7318,ST 24 NB                ,I  93 NB/US1SB,NBI,DOT,42,12,8.4708,71,4,53.2668,11,3,200000,64.6,17.7,6,TRUE,0,0,0,FALSE,Randolph
3237,R01007,35A,0.9494,ST 24 SB                ,I  93 NB/US1NB,NBI,DOT,42,12,9.5472,71,4,42.024,11,3,196000,25.9,17.7,5,TRUE,0,0,0,FALSE,Randolph
3238,C02031,35B,0.9598,WATER NEPONSET RIVER    ,I  95 NB         ,NBI,DOT,42,9,53.46,71,10,35.29,11,4,113000,29,17.1,7,TRUE,0,0,0,FALSE,Canton
3239,C02033,35C,0.8514,RR    AMTRAK/MBTA,I  95 NB          ,NBI,DOT,42,11,15.6624,71,9,21.042,11,3,115000,24.4,17.1,7,TRUE,0,0,0,FALSE,Canton
3240,C02033,35D,0.849,RR    AMTRAK/MBTA,I  95 SB          ,NBI,DOT,42,11,16.7604,71,9,21.0708,11,3,115000,24.4,17.1,7,TRUE,0,0,0,FALSE,Canton
3241,C02041,35E,0,WATER NEPONSET RIVER    ,I  95 NB RAMP     ,REM,DOT,42,12,36,71,8,42,11,2,10,40.8,12.8,8,TRUE,0,0,0,FALSE,Canton
3242,C02026,35F,0.5525,WATER NEPONSET RIVER    ,I  95 NB/US1/ST128,REM,DOT,42,12,35.892,71,8,41.8452,11,4,157000,42.7,17.5,4,TRUE,0,0,0,FALSE,Canton
3243,C02027,35G,0.5458,WATER NEPONSET RIVER    ,I  95 SB/US1/ST128,REM,DOT,42,12,35.352,71,8,42.2124,11,3,166000,42.7,17.5,4,TRUE,0,0,0,FALSE,Canton
3244,C02036,35H,0.7355,I  95 /US1/ST128        ,I  95 NB          ,NBI,DOT,42,12,27.2988,71,8,24,11,2,110000,90.2,29.8,5,TRUE,0,0,0,FALSE,Canton
3245,C02036,35J,0.7341,I  95 /US1/ST128        ,I  95 SB          ,NBI,DOT,42,12,27.29,71,8,26.054,11,2,110000,90.2,17.7,6,TRUE,0,0,0,FALSE,Canton
3246,C02040,35K,0.9701,I  95 /US1/ST128        ,I  95 RAMP T      ,REM,DOT,42,12,31.2732,71,8,35.142,19,2,0,94.5,11.2,7,TRUE,0,0,0,FALSE,Canton
3247,C02031,35L,0.9955,WATER NEPONSET RIVER    ,I  95 SB          ,NBI,DOT,42,9,54.25,71,10,37.09,11,3,113000,29,17.1,7,TRUE,0,0,0,FALSE,Canton
3248,D05047,35M,0.7604,COMB  AMTRAK/MBTA & PRKG,I  95 NB/ST128 NB,REM,DOT,42,12,39.3012,71,8,49.0596,11,4,165000,66.4,18,4,TRUE,0,0,0,FALSE,Dedham
3249,D05047,35N,0.7538,COMB  AMTRAK/MBTA & PRKG,I  95 SB/ST128 SB,REM,DOT,42,12,38.6892,71,8,49.3404,11,4,165000,66.4,18,4,TRUE,0,0,0,FALSE,Dedham
3250,D05048,35P,0.8505,HWY   ACCESS RD         ,I  95 NB/ST128 NB,REM,DOT,42,12,44.0496,71,8,57.606,11,4,151000,40.2,18,6,TRUE,0,0,0,FALSE,Dedham
3251,D05048,35Q,0.7019,HWY   ACCESS RD         ,I  95 SB/ST128 SB,REM,DOT,42,12,43.4736,71,8,57.9264,11,4,150000,40.2,17.9,0,TRUE,0,0,0,FALSE,Dedham
3252,D05040,35R,0.6638,ST135 WEST ST,I  95 NB/ST128 NB,NBI,DOT,42,15,50.0292,71,12,21.2688,11,4,155000,47.2,19.9,5,TRUE,0,0,0,FALSE,Dedham
3253,D05041,35T,0.4943,ST135 WEST ST,I  95 SB/ST128 SB,NBI,DOT,42,15,52.0848,71,12,25.704,11,4,155000,47.5,19.9,5,TRUE,0,0,0,FALSE,Dedham
3254,D05038,35U,0.7438,WATER CHARLES RIVER     ,I  95 NB/ST128 NB,NBI,DOT,42,16,2.2008,71,12,11.5632,11,3,151000,89,18,6,TRUE,0,0,0,FALSE,Dedham
3255,D05039,35V,0.5796,WATER CHARLES RIVER     ,I  95 SB/ST128 SB ,NBI,DOT,42,16,2.0388,71,12,12.87,11,3,144000,98.5,18,5,TRUE,0,0,0,FALSE,Dedham
3256,N04022,35W,0.5308,HWY   CENTRAL AVE       ,I  95 NB/ST128 NB ,NBI,DOT,42,18,38.0808,71,13,49.4256,11,4,161400,15.8,18.3,5,TRUE,0,0,0,FALSE,Needham
3257,N04022,35X,0.5205,HWY   CENTRAL AVE       ,I  95 SB/ST128 SB ,NBI,DOT,42,18,37.6452,71,13,50.1744,11,4,161400,15.8,18.3,5,TRUE,0,0,0,FALSE,Needham
3258,W31005,35Y,0.4923,RR    MBTA/CSX    ,I  95 NB/US1SB ,REM,DOT,42,13,32.1852,71,10,39.0792,11,4,150000,41.1,18.1,4,TRUE,0,0,0,FALSE,Westwood
3259,W31013,360,0.9619,RR    MBTA/CSX     ,I  95 SB/US1NB,REM,DOT,42,13,31.7784,71,10,39.972,11,3,155000,44.7,18,5,TRUE,0,0,0,FALSE,Westwood
3268,D05004,369,0.6898,WATER CHARLES RIVER     ,ST109 BRIDGE ST   ,NBI,DOT,42,15,14.4144,71,10,52.9608,14,2,19000,21.3,9.1,N,TRUE,0,0,0,FALSE,Dedham
3269,C02028,36A,0.3772,I  93 /US1        ,ST138 WASHNGTON ST,NBI,DOT,42,12,11.5344,71,7,10.2792,14,4,46000,51.2,25,7,TRUE,0,0,0,FALSE,Canton
3302,W32013,37B,0.448,RR    MBTA,ST 18 MAIN ST     ,634,DOT,42,9,29.3976,70,57,18.8604,14,2,43600,35.9,15.9,7,TRUE,0,0,0,FALSE,Weymouth
3308,B16016,37H,0.4274,WATER CHARLES RIVER     ,HWY   N WSHNGTN ST,NBI,MUN,42,22,10.8012,71,3,39.6828,14,6,38400,129.2,30.8,6,TRUE,0,0,0,TRUE,Boston
3309,B16245,37J,0.6555,OTHER SUL SQ OP SB/GRDNR,OTHER REMOVED 2004,REM,MUN,42,23,3.2352,71,4,30.5688,12,2,7500,121.3,10.1,5,TRUE,0,0,0,FALSE,Boston
3310,B16016,37K,0.5328,WATER CHARLES RIVER     ,HWY   N WSHNGTN ST,NBI,MUN,42,22,8.5512,71,3,37.9008,14,6,38400,73.5,30.8,6,TRUE,0,0,0,TRUE,Boston
3311,B16245,37L,0.5104,OTHER SUL SQ OP NB/GRDNR,OTHER REMOVED 2004,REM,MUN,42,23,3.8472,71,4,30.2448,12,2,27772,242.9,10.1,5,TRUE,0,0,0,FALSE,Boston
3312,B16016,37M,0.4084,WATER CHARLES RIVER     ,HWY   N WSHNGTN ST,NBI,MUN,42,22,6.0636,71,3,35.928,14,6,38400,129.2,30.8,6,TRUE,0,0,0,TRUE,Boston
3313,B16245,37N,0.374,OTHER SUL SQ OVP/RR&ST99,OTHER REMOVED 2004,REM,MUN,42,23,2.6808,71,4,28.2828,12,4,45000,266.7,20.1,4,TRUE,0,0,0,FALSE,Boston
3314,B16016,37P,0.9939,OTHER WAREHOUSE         ,HWY   N WSHNGTN ST,NBI,MUN,42,22,4.0368,71,3,34.3224,14,6,66200,82.9,31.2,7,TRUE,0,0,0,FALSE,Boston
3315,B16245,37Q,0.7059,OTHER SUL SQ OVERP/ST99 ,OTHER REMOVED 2004,REM,MUN,42,22,59.898,71,4,25.6836,12,4,26600,141.1,21.1,6,TRUE,0,0,0,FALSE,Boston
3316,B16016,37R,0.9843,HWY   WATER ST          ,HWY   N WSHNGTN ST,NBI,MUN,42,22,13.728,71,3,42.4512,14,6,64400,18.3,42.1,7,TRUE,0,0,0,FALSE,Boston
3318,B16245,37U,0.4126,ST 99 SULLIVAN SQ UNDRPS,HWY   MISHAWUM ST,NBI,MUN,42,22,48,71,4,12,14,1,5900,22.3,16.8,6,TRUE,0,0,0,FALSE,Boston
3319,B16245,37V,0.6691,ST 99 SULLIVAN SQ UNDRPS,HWY   SOUTH ROTARY,NBI,MUN,42,23,0.0348,71,4,26.238,14,3,26200,18.9,19.6,6,TRUE,0,0,0,FALSE,Boston
3321,B16245,37X,0.6929,ST 99 SULLIVAN SQ UNDRPS,HWY   NORTH ROTARY,NBI,MUN,42,23,7.3212,71,4,24.6432,14,3,28000,18.6,19.7,7,TRUE,0,0,0,FALSE,Boston
3324,B16003,381,0.943,WATER NEPONSET RIVER    ,HWY   ADAMS ST    ,NBI,MUN,42,16,15.0924,71,4,6.6324,14,2,16900,36.3,18.2,7,TRUE,0,0,0,FALSE,Boston
3331,B16029,388,0.3441,WATER MYSTIC RIVER      ,ST 99 ALFORD ST   ,NBI,MUN,42,23,20.0652,71,4,18.4188,14,4,55000,251.46,28.6,4,TRUE,9,12,18,TRUE,Boston
3334,B16034,38B,0.9767,WATER RESERVE CHANNEL   ,HWY   SUMMER ST   ,NBI,MUN,42,20,33,71,2,14.0136,19,4,35400,284.1,21.6,7,TRUE,0,0,0,FALSE,Boston
3340,B16124,38H,0.9853,HWY   A ST          ,HWY   SUMMER ST   ,NBI,MUN,42,20,58.56,71,2,57.5052,14,6,28300,17.5,30.5,8,TRUE,0,0,0,FALSE,Boston
3342,B16184,38K,0.3424,WATER FORT POINT CHANNEL,HWY   NORTHERN AVE,CLP,MUN,42,21,16.1568,71,3,0.2412,19,3,0,193.9,18.9,3,TRUE,0,0,0,FALSE,Boston
3760,S28008,3MM,0.9864,HWY   PAGE ST           ,ST 24 ,NBI,DOT,42,8,37.3992,71,3,59.8212,12,6,114300,20.4,36.1,7,TRUE,0,0,0,FALSE,Stoughton
3823,F06002,3PL,0.9615,ST140 PIERCE ST         ,US  1 WASHNGTON ST,NBI,DOT,42,4,43.8888,71,16,58.4832,14,4,27000,25.9,31.3,7,TRUE,0,0,0,FALSE,Foxborough
3824,F06003,3PM,0.9931,RR    CSX,US  1 WASHNGTON ST,NBI,DOT,42,5,55.9572,71,15,48.312,14,5,25100,50.3,31,8,TRUE,0,0,0,FALSE,Foxborough
3825,N25026,3PN,0.8024,WATER NEPONSET RIVER    ,US  1 PROVDNCE HWY,NBI,DOT,42,10,36.516,71,11,32.7084,14,4,35600,19.8,25.8,4,TRUE,0,0,0,TRUE,Norwood
3826,N25014,3PP,1,WATER PURGATORY BROOK   ,US  1 PROVDNCE HWY,NBI,DOT,42,12,32.8428,71,11,6.4212,14,4,37600,7.9,0,N,TRUE,0,0,0,FALSE,Norwood
3827,S09011,3PQ,0.9687,I  95         ,US  1 NB/GL EDWRDS,NBI,DOT,42,7,32.5,71,13,39.4004,12,2,36000,122.2,12.9,7,TRUE,0,0,0,FALSE,Sharon
3828,S09010,3PR,0.9744,I  95 NB                ,US  1 NB/GL EDWRDS,NBI,DOT,42,7,52.0248,71,13,21.5,12,2,36000,63.7,12.9,7,TRUE,0,0,0,FALSE,Sharon
3829,S09009,3PT,0.9714,I  95 SB                ,US  1 NB/GL EDWRDS,NBI,DOT,42,7,58,71,13,22,12,2,32000,82.3,12.9,7,TRUE,0,0,0,FALSE,Sharon
3830,W03041,3PU,0.9257,WATER TRAPHOLE BROOK    ,US  1 BSTN PRVDNC ,NBI,DOT,42,9,6.8076,71,12,34.2324,14,4,38000,6.7,0,N,TRUE,0,0,0,FALSE,Walpole
3854,F06015,3QK,0.7894,ST106 GREEN ST,I  95 NB          ,NBI,DOT,42,1,52.0536,71,15,3.726,11,3,75460,54.9,17.1,6,TRUE,0,0,0,FALSE,Foxborough
3855,F06015,3QL,0.9055,ST106 GREEN ST,I  95 SB          ,NBI,DOT,42,1,51.294,71,15,7.5888,11,3,50000,57.9,17.1,4,TRUE,0,0,0,FALSE,Foxborough
3856,F06016,3QM,0.7577,ST140 COMMERCIAL ST,I  95 NB          ,NBI,DOT,42,2,35.8656,71,14,35.8656,11,4,44150,34.1,17.7,5,TRUE,0,0,0,FALSE,Foxborough
3857,F06016,3QN,0.7545,ST140 COMMERCIAL ST,I  95 SB          ,NBI,DOT,42,2,36.3732,71,14,36.5712,11,4,94800,34.1,17.7,5,TRUE,0,0,0,FALSE,Foxborough
3858,F06018,3QP,0.723,HWY   CENTRAL ST        ,I  95 NB          ,NBI,DOT,42,3,7.56,71,14,16.7856,11,3,91000,42.1,17.1,6,TRUE,0,0,0,FALSE,Foxborough
3859,F06018,3QQ,0.7517,HWY   CENTRAL ST        ,I  95 SB          ,NBI,DOT,42,3,8.0928,71,14,17.4696,11,3,40000,42.1,17.1,5,TRUE,0,0,0,FALSE,Foxborough
3860,F06019,3QR,0.9641,RR    CSX,I  95 NB          ,NBI,DOT,42,3,11.2752,71,14,14.4168,11,3,45500,13.4,16.1,7,TRUE,0,0,0,FALSE,Foxborough
3861,F06019,3QT,0.988,RR    CSX,I  95 SB          ,NBI,DOT,42,3,11.9304,71,14,15.036,11,3,45500,13.4,16.2,7,TRUE,0,0,0,FALSE,Foxborough
3862,F06020,3QU,0.767,HWY   COCASSET ST ,I  95 NB          ,NBI,DOT,42,3,50.8752,71,13,50.2032,11,3,45000,49.1,17.1,7,TRUE,0,0,0,FALSE,Foxborough
3863,F06020,3QV,0.9475,HWY   COCASSET ST ,I  95 SB          ,NBI,DOT,42,3,50.8464,71,13,51.2508,11,3,45000,49.1,18.1,7,TRUE,0,0,0,FALSE,Foxborough
3864,F06021,3QW,0.9598,HWY   OAK ST            ,I  95 NB          ,NBI,DOT,42,5,2.6736,71,13,21.0792,11,3,50000,59.1,17.1,7,TRUE,0,0,0,FALSE,Foxborough
3865,F06022,3QX,0.9389,HWY   OAK ST            ,I  95 SB          ,NBI,DOT,42,5,3.4476,71,13,22.0368,11,3,38500,59.1,17.1,7,TRUE,0,0,0,FALSE,Foxborough
3868,N25028,3R1,0.807,HWY   UNION ST          ,I  95 NB,NBI,DOT,42,9,11.5812,71,11,27.0672,11,3,48000,31.4,17.2,7,TRUE,0,0,0,FALSE,Norwood
3869,N25028,3R2,0.8486,HWY   UNION ST          ,I  95 SB,NBI,DOT,42,9,12.2292,71,11,27.4992,11,3,48000,31.4,17.2,7,TRUE,0,0,0,FALSE,Norwood
3870,N25031,3R3,0.7532,WATER NEPONSET RIVER    ,I  95 NB,NBI,DOT,42,10,31.55,71,10,0.23,11,3,50800,35.4,17.7,6,TRUE,0,0,0,FALSE,Norwood
3871,N25031,3R4,0.7395,WATER NEPONSET RIVER    ,I  95 SB,NBI,DOT,42,10,33.2,71,10,1.24,11,3,50800,35.4,17.1,6,TRUE,0,0,0,FALSE,Norwood
3874,S09015,3R7,0.6493,HWY   S WALPOLE ST      ,I  95 SB,NBI,DOT,42,6,21.5388,71,13,53.8428,11,3,50000,35.7,17.1,6,TRUE,0,0,0,FALSE,Sharon
3875,S09012,3R8,0.7421,HWY   OLD POST RD       ,I  95 NB,NBI,DOT,42,7,15.2976,71,13,48.9072,11,4,87100,56.4,17.1,7,TRUE,0,0,0,FALSE,Sharon
3876,S09013,3R9,0.7392,HWY   OLD POST RD       ,I  95 SB,NBI,DOT,42,7,19.974,71,13,50.0124,11,3,50000,51.2,17.1,6,TRUE,0,0,0,FALSE,Sharon
3877,F06027,3RA,0.9873,I  95 SB                ,I 495 SB          ,NBI,DOT,42,1,34.9536,71,15,28.9584,11,4,42000,34.7,17.7,7,TRUE,0,0,0,FALSE,Foxborough
3878,F06027,3RB,0.9958,I  95 SB                ,I 495 NB          ,NBI,DOT,42,1,35.4072,71,15,28.1844,11,4,42000,34.7,17.7,7,TRUE,0,0,0,FALSE,Foxborough
3897,W46010,3RX,0.8128,ST  1 A/SOUTH ST        ,I 495 NB,NBI,DOT,42,2,23.9388,71,20,44.2572,12,4,45000,28,17.7,7,TRUE,0,0,0,FALSE,Wrentham
3898,W46010,3RY,0.7279,ST  1 A/SOUTH ST        ,I 495 SB,NBI,DOT,42,2,23.3016,71,20,44.6064,16,4,45000,28,17.9,7,TRUE,0,0,0,FALSE,Wrentham
3899,W46009,3T0,0.9889,RR    PCRR (ABANDONED),I 495 NB,NBI,DOT,42,2,26.1348,71,20,56.6448,11,3,40000,28,16.6,7,TRUE,0,0,0,FALSE,Wrentham
3900,W46009,3T1,0.9907,RR    PCRR (ABANDONED),I 495 SB,NBI,DOT,42,2,25.4328,71,20,56.7816,16,4,45000,28,17.7,7,TRUE,0,0,0,FALSE,Wrentham
1665,M06009,1L4,0.9124,I 495                   ,US 20 EB/BSTN PST ,NBI,DOT,42,20,28.3776,71,34,33.3768,14,3,36400,86.9,15,6,TRUE,0,0,0,FALSE,Marlborough
