OBJECTID,AllBridges_2014April_BDEPT,AllBridges_2014April_BIN,AllBridges_2014April_Health_Index,AllBridges_2014April_Item_6A,AllBridges_2014April_Item_7,AllBridges_2014April_Item_8_Bridge_Cat,AllBridges_2014April_Item_8_Owner,AllBridges_2014April_Item_16A,AllBridges_2014April_Item_16B,AllBridges_2014April_Item_16C,AllBridges_2014April_Item__17A,AllBridges_2014April_Item__17B,AllBridges_2014April_Item__17C,AllBridges_2014April_Item_26,AllBridges_2014April_Item_28A,AllBridges_2014April_Item_29,AllBridges_2014April_Item_49,AllBridges_2014April_Item_52,AllBridges_2014April_Item_58,AllBridges_2014April_Item_104,AllBridges_2014April_Posting_2_Axle,AllBridges_2014April_Posting_3_Axle,AllBridges_2014April_Posting_5_Axle,AllBridges_2014April_Struct_Def,AllBridges_2014April_Town_Name,AllBridges_2014April_RPA
65,H23012,20Q,0.9991,I 495,I  90 RAMP ON&OFF,NBI,DOT,42,15,46.1586,71,33,47.5488,11,3,35000,75.64,18.288,8,True,0,0,0,False,Hopkinton,MAPC
66,W11007,24Y,0.6712,WATER SUDBURY RIVER,ST 27 OLD SUDBURY,NBI,MUN,42,22,26.9796,71,22,53.544,14,2,30000,33.2,12.4,5,True,0,0,0,False,Wayland,MAPC
67,A02013,26K,0.8933,WATER NASHOBA BROOK,ST119 /ST2 A,NBI,DOT,42,29,56.5367,71,25,5.9087,14,2,20000,8.8,13.4,5,True,0,0,0,False,Acton,MAPC
68,L13011,26N,0.9855,RR    MBTA/BMRR,ST  2 A/ST110/AYER,NBI,DOT,42,33,4.2222,71,31,42.402,14,2,6000,28,17.4,7,True,0,0,0,False,Littleton,MAPC
69,S31004,26Q,0.9411,WATER HOP BROOK,US 20 BSTN POST RD,NBI,DOT,42,21,42.4584,71,25,4.1046,14,2,32000,7.3,11.6,6,True,0,0,0,False,Sudbury,MAPC
70,L13030,26V,0.8814,I 495,ST119 GREAT RD,NBI,DOT,42,32,57.6708,71,28,41.6136,14,2,16000,95.1,16.8,4,True,0,0,0,False,Littleton,MAPC
71,L13008,26W,0.9473,WATER BEAVER BROOK,ST119 GREAT RD,NBI,DOT,42,33,13.0104,71,28,59.3399,14,2,23800,7.9,8.5,6,True,17,23,36,False,Littleton,MAPC
72,F07001,276,0.4501,WATER RESERVOIR OUTLET,ST  9 WORCESTER RD,NBI,DOT,42,17,39.2886,71,27,27.5502,14,4,58800,16.5,27.4,4,True,20,25,40,True,Framingham,MAPC
73,B18001,27B,0.7567,HWY   CENTRAL ST,ST  2,NBI,DOT,42,30,1.9404,71,28,31.1844,12,4,44000,20.1,27.2,7,True,0,0,0,False,Boxborough,MAPC
74,L13018,27C,0.9656,RR    MBTA/BMRR,ST  2,NBI,DOT,42,31,4.0542,71,30,6.1308,12,4,42000,53,27,7,True,0,0,0,False,Littleton,MAPC
75,L13017,27D,0.659,HWY   FOSTER ST,ST  2,NBI,DOT,42,31,6.819,71,30,12.2508,12,4,40000,16.2,27.8,7,True,0,0,0,False,Littleton,MAPC
76,H25016,27F,0.9699,WATER ASSABET RIVER,I 495 NB,NBI,DOT,42,22,7.9134,71,35,40.7328,11,3,50000,25.9,17.1,5,True,0,0,0,False,Hudson,MAPC
77,H25016,27G,0.7918,WATER ASSABET RIVER,I 495 SB,NBI,DOT,42,22,6.1746,71,35,43.0908,11,3,50000,25.3,17.1,5,True,0,0,0,False,Hudson,MAPC
78,H25017,27H,0.9509,HWY   RIVER RD,I 495 NB,NBI,DOT,42,22,17.943,71,35,45.7872,11,3,48000,40.8,17.1,6,True,0,0,0,False,Hudson,MAPC
79,H25017,27J,0.7547,HWY   RIVER RD,I 495 SB,NBI,DOT,42,22,15.7116,71,35,48.1446,11,3,49726,43,17.1,6,True,0,0,0,False,Hudson,MAPC
80,L13022,27K,0.5917,ST  2,I 495 NB,NBI,DOT,42,31,14.4258,71,30,29.07,11,4,75000,50.9,18.3,4,True,0,0,0,True,Littleton,MAPC
81,L13022,27L,0.4931,ST  2,I 495 SB,NBI,DOT,42,31,15.204,71,30,30.7614,11,4,75000,50.9,18.3,4,True,0,0,0,True,Littleton,MAPC
82,L13023,27M,0.7585,RR    MBTA/BMRR,I 495 NB,NBI,DOT,42,31,27.7572,71,30,17.8338,11,4,55000,54.9,18.3,5,True,0,0,0,False,Littleton,MAPC
83,L13023,27N,0.6855,RR    MBTA/BMRR,I 495 SB,NBI,DOT,42,31,29.5284,71,30,18.8274,11,4,55000,54.9,17.4,5,True,0,0,0,True,Littleton,MAPC
84,L13027,27P,0.9993,WATER BEAVER BROOK,I 495 NB,NBI,DOT,42,32,34.9223,71,29,22.4771,11,3,50000,14.9,19.5,N,True,0,0,0,False,Littleton,MAPC
85,L13027,27Q,0.9425,WATER BEAVER BROOK,I 495 SB,NBI,DOT,42,32,36.1175,71,29,23.5572,11,3,50000,14.9,19.5,N,True,0,0,0,False,Littleton,MAPC
86,M06012,27Y,0.8659,HWY   BERLIN RD,I 495 NB,NBI,DOT,42,21,32.2704,71,35,8.2458,11,3,45000,44.2,17.1,6,True,0,0,0,False,Marlborough,MAPC
87,M06012,280,0.7791,HWY   BERLIN RD,I 495 SB,NBI,DOT,42,21,32.4684,71,35,10.8888,11,3,45000,44.2,17.1,6,True,0,0,0,False,Marlborough,MAPC
88,M06007,281,0.9653,HWY   DONALD LYNCH BLVD,I 495 NB,NBI,DOT,42,22,1.613,71,35,36.8844,11,3,50000,42.2,17.1,6,True,0,0,0,False,Marlborough,MAPC
89,M06007,282,0.9708,HWY   DONALD LYNCH BLVD,I 495 SB,NBI,DOT,42,21,59.2992,71,35,38.3387,11,3,50000,38.3,17.1,6,True,0,0,0,False,Marlborough,MAPC
90,A02012,286,0.9072,WATER FORT POND BROOK,ST 27 MAIN ST,NBI,DOT,42,27,33.89,71,27,15.05,14,3,12300,6.7,15.2,N,True,0,0,0,False,Acton,MAPC
91,A02037,287,0.6694,ST  2,ST 27 MAIN ST,NBI,DOT,42,28,40.5798,71,26,54.675,14,2,16600,31.1,16.7,6,True,0,0,0,False,Acton,MAPC
92,A14001,28A,0.9434,WATER SUDBURY RIVER,ST135 UNION ST,NBI,DOT,42,15,35.1899,71,27,7.0451,14,2,22800,28,14.6,5,True,0,0,0,False,Ashland,MAPC
93,F07028,28B,0.9929,ST  9 WORCESTER RD,ST126 CONCORD ST,NBI,DOT,42,17,53.6459,71,24,30.9672,14,2,35500,31.4,16,7,True,0,0,0,False,Framingham,MAPC
94,S29007,28D,0.9659,WATER ELIZABETH BROOK,ST 62 GLEASNDLE RD,NBI,DOT,42,25,53.5439,71,30,26.9064,14,2,12100,6.8,16.2,7,True,0,0,0,False,Stow,MAPC
95,S29001,28E,0.5972,WATER ASSABET RIVER,ST 62 GLEASNDLE RD,NBI,DOT,42,24,17.3051,71,31,35.1264,14,2,7000,51.8,13.7,5,True,0,0,0,True,Stow,MAPC
96,M10002,28M,0.8934,WATER ASSABET RIVER,ST117 GREAT RD,NBI,DOT,42,25,42.4091,71,28,7.0104,14,2,15000,18.3,15.6,N,True,0,0,0,False,Maynard,MAPC
97,H25003,28P,0.3642,WATER ASSABET RIVER,ST 85 WASHNGTON ST,NBI,DOT,42,23,25.4688,71,34,12.9144,14,2,39200,18.6,14.7,N,True,20,25,40,True,Hudson,MAPC
98,N03020,28Q,0.8096,ST  9 WORCESTER ST,ST 27 N MAIN ST,NBI,DOT,42,17,59.964,71,21,35.7552,14,2,28000,30.2,16,5,True,0,0,0,True,Natick,MAPC
99,A02001,28R,0.7318,WATER ASSABET RIVER,ST 62 PWDR MILL RD,NBI,DOT,42,26,27.388,71,25,46.146,14,3,27800,23.7,15,6,True,0,0,0,False,Acton,MAPC
100,M10004,28T,0.7274,WATER ASSABET RIVER,ST 62 MAIN ST,NBI,DOT,42,25,54.447,71,27,18.4242,14,2,8000,18.9,16,4,True,0,0,0,True,Maynard,MAPC
101,M06018,28V,0.9598,HWY   PLEASANT ST,HWY   85 CONNECTOR,NBI,DOT,42,22,9.9048,71,34,34.4706,14,2,26200,27.7,14.4,7,True,0,0,0,False,Marlborough,MAPC
102,N03033,291,0.559,ST  9 & RAMP A,HWY   SPEEN ST SB,NBI,DOT,42,17,57.7103,71,22,44.6448,16,3,20000,50.9,15.7,6,True,0,0,0,False,Natick,MAPC
103,N03035,293,0.7483,ST  9 WORCESTER ST,HWY   SPEEN ST NB,NBI,DOT,42,17,57.6456,71,22,36.1164,14,3,21600,30.8,15.8,6,True,0,0,0,False,Natick,MAPC
104,A02004,29A,0.9983,RR    MBTA/BMRR,ST 27 MAIN ST,634,DOT,42,27,36.24,71,27,16.06,14,3,13600,24.4,15.2,7,True,0,0,0,False,Acton,MAPC
105,N03006,29P,0.996,RR    CSX/MBTA,ST 27 N MAIN ST,634,DOT,42,17,8.163,71,20,53.0262,14,2,23000,25.3,19,7,True,0,0,0,False,Natick,MAPC
106,B06020,2AF,0.9972,I 495 NB,ST126 HARTFORD AVE,NBI,DOT,42,6,51.3684,71,27,55.8252,14,4,16200,36.6,15.9,7,True,0,0,0,False,Bellingham,MAPC
107,B06020,2AG,0.9994,I 495 SB,ST126 HARTFORD AVE,NBI,DOT,42,6,51.1632,71,27,58.968,14,4,16200,36.9,16.2,7,True,0,0,0,False,Bellingham,MAPC
108,B06005,2AH,0.8417,WATER CHARLES RIVER,ST126 N MAIN ST,NBI,DOT,42,5,39.4598,71,28,33.2904,14,2,18000,9.4,18.1,7,True,0,0,0,False,Bellingham,MAPC
109,M11003,2AJ,0.8378,WATER CHARLES RIVER,ST109 MAIN ST,NBI,DOT,42,10,52.107,71,19,21.6618,14,2,24700,20.1,15.4,6,True,0,0,0,False,Medfield,MAPC
110,B06021,2AL,0.9961,WATER CHARLES RIVER,I 495,NBI,DOT,42,6,26.9562,71,27,29.6742,11,6,80000,10.1,0,N,True,0,0,0,False,Bellingham,MAPC
111,M11013,2AN,0.8322,RR    BCRR,ST 27 N MEADOWS RD,NBI,DOT,42,11,41.2764,71,19,42.4662,14,2,8000,20.1,17.3,8,True,0,0,0,False,Medfield,MAPC
112,M11012,2AP,0.981,WATER CHARLES RIVER,ST 27 HOSPITAL RD,NBI,DOT,42,12,35.8418,71,21,6.1884,14,2,8000,21.9,14.9,7,True,0,0,0,False,Medfield,MAPC
113,B06009,2AV,0.8067,RR    MBTA/CSX,ST126 N MAIN ST,634,DOT,42,5,27.5027,71,28,35.3639,14,2,16000,21.9,18.1,7,True,0,0,0,False,Bellingham,MAPC
114,B06011,2AW,0.7329,RR    CSX (ABANDONED),ST126 S MAIN ST,634,DOT,42,2,2.6334,71,29,35.5482,14,2,20000,33.8,18.7,5,True,17,23,27,True,Bellingham,MAPC
115,F08007,2B0,0.9341,RR    MBTA/CSX,ST140 E CENTRAL ST,634,DOT,42,4,57.2736,71,23,49.4916,14,2,31200,8.5,35.7,7,True,0,0,0,False,Franklin,MAPC
116,B04012,734,1,WATER SHAWSHEEN RIVER,US  3 NB,NBI,DOT,42,30,33,71,15,0.5,12,3,60000,30.4,23.9,7,True,0,0,0,False,Bedford,MAPC
117,B04012,737,1,WATER SHAWSHEEN RIVER,US  3 SB,NBI,DOT,42,32,52.25,71,17,15.5,12,3,60000,30.4,23.896,7,True,0,0,0,False,Bedford,MAPC
118,B16645,7GD,0.9992,COMB  AMTRAK/MBTA&RED LN,HWY   S BOS BYPASS,NBI,DOT,42,20,4.2072,71,3,41.9255,16,2,11650,555.5,11,7,True,0,0,0,False,Boston,MAPC
119,R05007,7L5,1,WATER PINES RIVER,ST107 SALEM TPK,NBI,DOT,42,25,51.36,70,59,50.56,14,4,26300,46.3804,26.797,8,True,0,0,0,False,Revere,MAPC
120,B16645,7LF,1,HWY   WYDETT CIR ACC RD,HWY   S BOS BYPASS,NBI,DOT,42,20,2.8572,71,3,45.81,16,2,4300,36.1,13.6,6,True,0,0,0,False,Boston,MAPC
121,W31013,7RD,1,RR    MBTA/CSX,I  95 SB/US1NB,NBI,DOT,42,13,32.4516,71,10,39.9935,11,3,155500,49.42,23.91,7,True,0,0,0,False,Westwood,MAPC
122,L10016,2BJ,0.9688,WATER KILN BROOK,HWY   HARTWELL AVE,NBI,MUN,42,28,11.1215,71,15,34.668,14,2,25000,17.7,13.9,6,True,0,0,0,False,Lexington,MAPC
123,W04004,2CA,0.72,WATER CHARLES RIVER,HWY   MOODY ST,NBI,MUN,42,22,23.61,71,14,11.6304,14,4,23500,68.6,20,N,True,0,0,0,False,Waltham,MAPC
124,W40027,2CK,0.6592,WATER ABERJONA RIVER,HWY   SKILLINGS RD,NBI,MUN,42,27,22.4856,71,8,10.5828,14,2,13700,12.7,17.7,N,True,0,0,0,False,Winchester,MAPC
125,B16003,381,0.943,WATER NEPONSET RIVER,HWY   ADAMS ST,NBI,MUN,42,16,15.4992,71,4,5.3327,14,2,23000,36.3,18.2,7,True,0,0,0,False,Boston,MAPC
