OBJECTID,City_num,RPA,Town_Name,All_Injuries_2004,All_Injuries_2005,All_Injuries_2006,All_Injuries_2007,All_Injuries_2008,All_Injuries_2009,All_Injuries_2010,All_Injuries_2011,All_Injuries_2012,All_Injuries_2013,All_Fatalities_2004,All_Fatalities_2005,All_Fatalities_2006,All_Fatalities_2007,All_Fatalities_2008,All_Fatalities_2009,All_Fatalities_2010,All_Fatalities_2011,All_Fatalities_2012,All_Fatalities_2013
36,141,MAPC,Hudson,148,131,141,133,88,91,96,89,73,136,0,2,0,1,1,0,1,3,0,0
37,142,MAPC,Hull,27,29,29,30,31,13,18,20,4,29,0,0,0,0,0,0,0,0,0,0
38,144,MAPC,Ipswich,49,49,47,39,40,42,41,37,31,37,1,0,0,0,0,1,0,0,0,1
39,155,MAPC,Lexington,269,297,293,300,220,207,189,181,156,156,3,0,4,4,3,2,3,2,1,0
40,157,MAPC,Lincoln,56,55,49,45,45,63,78,32,43,30,0,0,0,0,1,0,2,0,0,0
41,158,MAPC,Littleton,94,80,85,67,78,69,71,80,39,65,1,1,1,0,1,3,0,0,3,0
42,163,MAPC,Lynn,1164,1137,1079,959,889,775,725,645,681,645,3,4,4,3,5,4,4,2,5,5
43,164,MAPC,Lynnfield,83,92,124,101,92,71,72,53,82,99,0,0,0,1,2,0,0,4,0,1
44,165,MAPC,Malden,490,383,453,413,352,253,89,16,307,270,1,2,0,2,5,3,4,0,2,2
45,166,MAPC,Manchester,23,21,17,16,23,17,13,15,13,7,4,0,0,0,0,0,0,0,0,0
46,168,MAPC,Marblehead,35,40,40,27,20,30,20,33,26,25,0,0,0,0,0,1,1,0,1,0
47,170,MAPC,Marlborough,302,379,350,319,313,201,228,246,243,221,2,1,1,3,4,1,0,3,2,0
48,171,MAPC,Marshfield,147,153,149,117,115,96,80,125,108,116,3,4,1,2,3,1,2,2,1,0
49,174,MAPC,Maynard,27,30,23,20,20,17,16,10,13,12,0,0,0,0,0,0,0,0,0,0
50,175,MAPC,Medfield,56,51,56,47,35,41,46,40,29,37,1,0,1,0,0,2,0,0,0,0
51,176,MAPC,Medford,379,476,504,473,490,348,224,153,279,309,1,4,1,2,1,3,1,0,2,2
52,177,MAPC,Medway,73,74,59,45,55,51,67,13,80,66,2,1,1,0,0,1,1,0,1,0
53,178,MAPC,Melrose,117,133,105,99,103,111,109,111,84,102,0,1,0,2,1,0,0,0,0,2
54,184,MAPC,Middleton,86,55,75,55,57,34,45,51,55,75,0,0,0,0,0,1,0,0,0,0
55,185,MAPC,Milford,129,145,121,139,111,216,240,252,227,237,1,1,1,2,1,0,1,4,0,0
56,187,MAPC,Millis,34,45,31,24,56,34,27,16,24,18,0,1,0,1,0,1,1,2,0,0
57,189,MAPC,Milton,346,353,319,339,302,276,286,254,291,267,4,4,4,2,0,0,0,0,4,3
58,196,MAPC,Nahant,2,2,4,5,2,5,4,7,3,3,0,0,0,0,0,0,0,0,0,0
59,198,MAPC,Natick,244,249,258,212,240,155,212,145,145,182,0,5,1,0,0,0,2,3,0,0
60,199,MAPC,Needham,177,162,206,158,135,152,122,108,156,176,0,0,2,1,0,1,1,0,0,0
61,207,MAPC,Newton,543,712,698,638,593,500,501,508,545,542,2,1,3,3,2,0,4,1,3,2
62,208,MAPC,Norfolk,52,34,28,19,18,28,24,23,27,23,0,0,1,1,0,0,0,0,0,1
63,213,MAPC,North Reading,65,67,98,112,78,60,67,71,35,35,0,0,1,1,0,1,0,1,0,0
64,219,MAPC,Norwell,136,121,112,96,100,66,79,78,63,135,0,3,0,0,1,2,2,1,0,3
65,220,MAPC,Norwood,270,278,232,264,174,163,175,140,207,207,3,0,0,2,0,0,3,3,0,3
66,229,MAPC,Peabody,452,525,438,425,352,266,217,367,384,322,4,3,3,1,3,1,1,3,3,4
67,231,MAPC/OCPC,Pembroke,181,156,157,154,117,104,96,129,118,137,1,0,0,2,0,1,2,1,0,0
68,243,MAPC,Quincy,721,896,780,703,710,630,617,551,617,557,6,4,8,1,5,4,2,4,7,1
