"bridgeId","healthIndex","year","structDef","town"
"34C","0.5591","2007","FALSE","Dedham"
"34D","0.6693","2007","FALSE","Dedham"
"34E","0.5915","2007","TRUE","Dedham"
"34F","0.633","2007","TRUE","Dedham"
"34H","0.9488","2007","FALSE","Braintree"
"34J","0.669999978","2007","FALSE","Braintree"
"34K","0.7968","2007","FALSE","Braintree"
"34M","0.8582","2007","FALSE","Braintree"
"34N","0.9631","2007","FALSE","Braintree"
"34P","0.685","2007","FALSE","Braintree"
"34Q","0.896","2007","FALSE","Braintree"
"34R","0.9683","2007","FALSE","Braintree"
"34T","0.991","2007","FALSE","Braintree"
"34U","0.757","2007","FALSE","Braintree"
"34V","0.7322","2007","FALSE","Braintree"
"34W","0.9818","2007","FALSE","Braintree"
"34X","0.6392","2007","FALSE","Braintree"
"34Y","1","2007","FALSE","Braintree"
"350","0.9698","2007","FALSE","Weymouth"
"351","0.9666","2007","FALSE","Weymouth"
"353","1","2007","FALSE","Weymouth"
"354","1","2007","FALSE","Weymouth"
"355","0.9049","2007","FALSE","Weymouth"
"356","0.7021","2007","FALSE","Braintree"
"357","0.5499","2007","FALSE","Braintree"
"358","0.9022","2007","FALSE","Randolph"
"359","0.7344","2007","FALSE","Randolph"
"35A","0.9087","2007","FALSE","Randolph"
"35B","0.9609","2007","FALSE","Canton"
"35C","0.8514","2007","FALSE","Canton"
"35D","0.8524","2007","FALSE","Canton"
"35E","0","2007","FALSE","Canton"
"35F","0.5525","2007","TRUE","Canton"
"35G","0.5458","2007","TRUE","Canton"
"35H","0.7445","2007","FALSE","Canton"
"35J","0.8313","2007","FALSE","Canton"
"35K","0.9701","2007","TRUE","Canton"
"35L","0.9955","2007","FALSE","Canton"
"35M","0.7604","2007","TRUE","Dedham"
"35N","0.7538","2007","TRUE","Dedham"
"35P","0.8505","2007","FALSE","Dedham"
"35Q","0.7019","2007","FALSE","Dedham"
"35R","0.6638","2007","FALSE","Dedham"
"35T","0.4943","2007","FALSE","Dedham"
"35U","0.7438","2007","FALSE","Dedham"
"35V","0.5796","2007","FALSE","Dedham"
"35W","0.5308","2007","FALSE","Needham"
"35X","0.5205","2007","FALSE","Needham"
"35Y","0.4923","2007","FALSE","Westwood"
"360","0.9619","2007","FALSE","Westwood"
"369","0.6598","2007","FALSE","Dedham"
"36A","0.576","2007","FALSE","Canton"
"37B","0.6526","2007","FALSE","Weymouth"
"37H","0.4274","2007","TRUE","Boston"
"37J","0.6555","2007","FALSE","Boston"
"37K","0.5328","2007","TRUE","Boston"
"37L","0.5104","2007","FALSE","Boston"
"37M","0.4084","2007","TRUE","Boston"
"37N","0.374","2007","FALSE","Boston"
"37P","0.9992","2007","FALSE","Boston"
"37Q","0.7059","2007","FALSE","Boston"
"37R","0.9998","2007","FALSE","Boston"
"37U","0.4593","2007","FALSE","Boston"
"37V","0.6711","2007","FALSE","Boston"
"37X","0.6929","2007","FALSE","Boston"
"381","0.943","2007","FALSE","Boston"
"388","0.3949","2007","TRUE","Boston"
"389","0.9856","2007","FALSE","Boston"
"38B","0.9848","2007","FALSE","Boston"
"38H","0.9903","2007","FALSE","Boston"
"38K","0.3424","2007","FALSE","Boston"
"38N","0.821","2007","TRUE","Boston"
"38P","0.9148","2007","FALSE","Boston"
"38R","0.4009","2007","FALSE","Boston"
"391","0.678","2007","FALSE","Boston"
"399","0.8707","2007","TRUE","Quincy"
"39A","0.6087","2007","TRUE","Revere"
"39B","0.6348","2007","FALSE","Revere"
"39C","0.7138","2007","FALSE","Revere"
"39D","1","2007","FALSE","Revere"
"39E","0.500000146","2007","FALSE","Revere"
"39F","0.6111","2007","FALSE","Revere"
"39G","0.7127","2007","TRUE","Revere"
"39J","0.5288","2007","TRUE","Lynn"
"39K","0.8251","2007","TRUE","Saugus"
"39L","0.6453","2007","FALSE","Boston"
"39M","0.5055","2007","FALSE","Boston"
"39N","0.6967","2007","FALSE","Boston"
"39P","0.5146","2007","FALSE","Boston"
"39Q","0.4337","2007","FALSE","Boston"
"39R","0.7456","2007","FALSE","Boston"
"39T","0.7141","2007","FALSE","Boston"
"39U","0.9708","2007","FALSE","Boston"
"39V","0.934","2007","FALSE","Boston"
"39W","0.6349","2007","FALSE","Boston"
"39X","0.9517","2007","FALSE","Boston"
"39Y","0.9786","2007","FALSE","Boston"
"3A0","0.7032","2007","FALSE","Boston"
"3A1","0.9668","2007","FALSE","Boston"
"3A2","0.6978","2007","FALSE","Boston"
"3A3","0.5108","2007","FALSE","Boston"
"3A5","0.6058","2007","FALSE","Chelsea"
"3A6","0.7083","2007","TRUE","Chelsea"
"3A7","0.6409","2007","FALSE","Chelsea"
"3A8","0.702","2007","FALSE","Chelsea"
"3A9","0.6811","2007","FALSE","Chelsea"
"3AA","0.6657","2007","FALSE","Chelsea"
"3AB","0.7096","2007","FALSE","Chelsea"
"3AC","0.7467","2007","FALSE","Chelsea"
"3AD","0","2007","FALSE","Revere"
"3AE","0","2007","FALSE","Revere"
"3AF","0.9919","2007","FALSE","Malden"
"3AG","0.9495","2007","FALSE","Revere"
"3AH","0.8929","2007","FALSE","Revere"
"3AJ","0.7671","2007","FALSE","Revere"
"3AK","0.7664","2007","FALSE","Revere"
"3AL","0","2007","FALSE","Revere"
"3AM","0.7337","2007","FALSE","Revere"
"3AN","0.9294","2007","FALSE","Revere"
"3AP","0.7448","2007","FALSE","Revere"
"3AQ","0.6596","2007","FALSE","Saugus"
"3AR","0.5845","2007","FALSE","Boston"
"3AT","0.5854","2007","FALSE","Boston"
"3AU","0.586","2007","FALSE","Boston"
"3AV","0.5852","2007","FALSE","Boston"
"3AW","0.5574","2007","FALSE","Boston"
"3AX","0.6139","2007","FALSE","Boston"
"3AY","0.6011","2007","FALSE","Boston"
"3B0","0.6243","2007","FALSE","Boston"
"3B1","0.8638","2007","FALSE","Chelsea"
"3B2","0.7616","2007","FALSE","Milton"
"3B3","0.5191","2007","FALSE","Medford"
"3B4","0.92","2007","FALSE","Medford"
"3B5","0.8989","2007","FALSE","Medford"
"3B6","0.4198","2007","FALSE","Medford"
"3B7","0.7348","2007","FALSE","Medford"
"3B8","0.9686","2007","FALSE","Medford"
