GEOID,AREA_LAND_ONLY,AREA_WITH_WATER,STATE,COUNTY,TRACT,TOTAL_POP_2010,MINORITY_POP,MINORITY_PCT,TOTAL_HH_2010,MINORITY_HH,MINORITY_HH_PCT,POP_65_PLUS,PCT_65_PLUS,POP_75_PLUS,PCT_75_PLUS,SINGLE_FEMALE_HOH,SINGLE_FEMALE_HOH_PCT,POP2010_16_PLUS,LABOR_FORCE,PCT_IN_LABOR_FORCE,LOW_INC_HH,LOW_INC_HH_PCT,MEDIAN_HH_INC,ACS2012_TOT_HH,AGGREG_HH_INC,POP2010_5_PLUS,LEP_POP,LEP_POP_PCT,ZERO_VEH_HH,ZERO_VEH_HH_PCT,LAND_AREA,TOWN_ID,TOWN,COUNTY_SUBDIVISION
25025060200,"170,386.00",0,25,25,"60,200","1,916",32,0.0167,927,18,0.0194,213,0.1112,107,0.0558,49,0.0529,"1,725","1,433",0.8305,128,0.1377,"89,352",908,"91,655,200.00","1,840",45,0.0247,140,0.1509,0.065786402,35,Boston,"7,000"
25025051200,"412,098.00","496,108.00",25,25,"51,200","2,379","1,030",0.433,"1,023",316,0.3089,223,0.0937,115,0.0483,103,0.1007,"2,013","1,579",0.7842,412,0.4029,"49,866",953,"60,217,200.00","2,227",765,0.3437,374,0.3652,0.159111927,35,Boston,"7,000"
25021417502,"901,315.00",0,25,21,"417,502","4,639","2,454",0.529,"1,904",759,0.3986,442,0.0953,191,0.0412,197,0.1035,"4,022","2,718",0.6759,626,0.3288,"59,570","1,828","147,979,392.00","4,422","1,552",0.3509,321,0.1685,0.347999667,243,Quincy,"55,745"
25025160502,"1,152,307.00","282,672.00",25,25,"160,502","4,460","3,306",0.7413,"1,476",920,0.6233,303,0.0679,150,0.0336,383,0.2595,"3,344","2,381",0.7121,685,0.4642,"56,280","1,495","91,686,304.00","4,054","1,201",0.2963,548,0.3712,0.44490822,57,Chelsea,"13,205"
25025980101,"3,238,136.00","5,441,946.00",25,25,"980,101",535,370,0.6916,0,0,0,15,0.028,3,0.0056,0,0,530,162,0.3059,0,0,0,0,0,531,66,0.1246,0,0,1.250251299,35,Boston,"7,000"
25017342300,"794,509.00",0,25,17,"342,300","6,826","3,021",0.4426,"2,485",858,0.3453,746,0.1093,375,0.0549,423,0.1702,"5,430","3,988",0.7344,936,0.3766,"54,795","2,517","180,714,592.00","6,385","2,076",0.3251,430,0.1732,0.30676164,93,Everett,"21,990"
25017342201,"519,545.00",0,25,17,"342,201","5,268","2,517",0.4778,"1,919",726,0.3783,491,0.0932,247,0.0469,345,0.1798,"4,229","3,299",0.78,738,0.3845,"51,518","1,792","107,123,200.00","4,886","1,787",0.3657,307,0.1602,0.200597446,93,Everett,"21,990"
25017341800,"1,405,684.00",0,25,17,"341,800","6,554","3,507",0.5351,"2,516","1,110",0.4412,702,0.1071,324,0.0494,525,0.2087,"5,057","3,546",0.7013,"1,331",0.5292,"42,800","2,398","139,947,104.00","6,095","1,463",0.24,507,0.2014,0.542737627,165,Malden,"37,875"
25025160602,"741,841.00",0,25,25,"160,602","4,675","2,790",0.5968,"1,683",786,0.467,496,0.1061,275,0.0588,340,0.202,"3,731","2,572",0.6894,798,0.4742,"46,300","1,628","95,628,896.00","4,344","1,000",0.2302,288,0.1714,0.286426411,57,Chelsea,"13,205"
25017341901,"1,056,438.00","23,113.00",25,17,"341,901","1,387",533,0.3843,502,157,0.3127,211,0.1521,104,0.075,83,0.1653,"1,129",720,0.6381,230,0.458,"51,406",441,"29,742,200.00","1,307",205,0.157,74,0.1474,0.407892992,165,Malden,"37,875"
