year,average,firstQuartile,thirdQuartile,median,minimum,maximum,town
2008,2.878399944,2.52836536,3.22864478,2.90000009,1.30100689,4.5,PEABODY
2008,3.174120639,2.9208116,3.41526146,3.13230468,1.97965469,3.74943385,PEMBROKE
2008,2.55616149,2.16682666,3.00587694,2.6,0.47955607,4.5,QUINCY
2008,3.373581539,2.81603746,3.71597674,2.81603746,2.81603746,3.90000009,RANDOLPH
2008,2.779265508,2.65824583,2.7,2.65824583,2.65824583,2.9775,READING
2008,2.72923334,2.49474643,2.95047904,2.76150306,1.26233762,3.70000004,REVERE
2008,3.955792977,3.69305625,4.07887452,3.7125,3.69305625,4.37813412,ROCKLAND
2008,2.88809785,2.72126588,3.20000004,3.02944999,0.51111111,3.83774539,SALEM
2008,2.974756402,2.7751077,3.22128364,3.03308115,1.66885529,3.7125,SAUGUS
2008,3.23430972,2.99275536,3.50264847,3.1875,2.12610341,3.66884499,SCITUATE
2008,3.431346224,2.96284078,4.5,3.3586171,0.25081422,4.5,SHARON
2008,2.503544488,2.03322775,3,2.55452147,0.51397205,4.5,SOMERVILLE
2008,3.196956395,3.03510325,3.40000009,3.2951281,1.38569165,3.63675118,SOUTHBOROUGH
2008,2.436802209,2.13348179,2.68306045,2.47779394,1.40699999,3.20000004,STONEHAM
2008,3.420157671,2.83244041,3.96611485,3.62430191,0.29501855,4.5,STOUGHTON
2008,3.018245327,2.84481874,3.26776417,3.11223929,1.79589039,3.7125,SUDBURY
2008,3.116419566,2.81318848,3.48704971,3.09813434,1.92681207,3.7125,WALPOLE
2008,2.751751278,2.39113997,3.17328728,2.78156596,1.20456252,3.97098714,WALTHAM
2008,2.204804137,1.782,2.50002768,2.21761504,0.73112807,3.22383619,WATERTOWN
2008,2.868258471,2.42111814,3.16057724,2.8,1.97257746,4.5,WAYLAND
2008,3.189526618,3.02352708,3.5,3.25715,1.65364285,3.5999999,WELLESLEY
2008,2.529810519,2.32462869,2.47099254,2.38806865,2.32462869,2.92793783,WENHAM
2008,3.1172513,2.97261572,3.35322418,3.12204507,1.61031147,3.90544812,WESTON
2008,3.217574854,2.77037695,3.6087648,3.34665565,1.74635829,3.88172815,WESTWOOD
2008,2.721831121,2.3451328,3.0929668,2.76561503,0.13984674,4.5,WEYMOUTH
2008,3.272903893,2.6460143,3.43056935,2.99260063,1.30726253,4.5,WILMINGTON
2008,2.496300985,2.2966292,2.54096757,2.4032029,2.18405645,3.52404113,WINCHESTER
2008,2.563672223,2.30939732,2.96231974,2.6219101,0,3.7451337,WOBURN
2008,2.699245886,2.39683579,2.75349471,2.73517877,2.325219,3.09360397,WRENTHAM
2009,3.054012274,2.75739303,3.33958393,2.91373197,2.23375967,3.7125,ACTON
