bridgeId,healthIndex,year,structDef,deckArea,town
3H9,0.9941,2007,FALSE,645.17,Boston
3H3,0.509,2007,FALSE,1606.74,Boston
3H4,0.9972,2007,FALSE,681.42,Boston
3GL,0.4503,2007,TRUE,476.76,Boston
38U,0.6869,2007,FALSE,526.08,Boston
3HM,0.9649,2007,FALSE,853.3,Boston
3HK,1,2007,FALSE,373.32,Boston
3HJ,0.5334,2007,TRUE,2154.5,Boston
3HE,0.9771,2007,FALSE,159.9,Boston
3HD,0.914,2007,FALSE,153.52,Boston
3EV,0.965,2007,FALSE,437.19,Boston
3EW,0.8135,2007,FALSE,375.24,Boston
2KY,1,2007,FALSE,666.75,Boston
4F6,0.8045,2007,FALSE,10180.29,Boston
4EN,0.5547,2007,FALSE,213.57,Boston
38L,1,2007,FALSE,274.29,Boston
4EJ,0.7197,2007,TRUE,377.85,Boston
4FC,0.438,2007,FALSE,583.68,Boston
391,0.678,2007,FALSE,450.84,Boston
3F2,0.7339,2007,FALSE,561.2,Boston
392,0.6662,2007,FALSE,192.96,Boston
4F5,0.8892,2007,TRUE,556.1,Boston
4X5,-1,2007,FALSE,638.25,Boston
3H6,0.5891,2007,FALSE,565.47,Boston
3GN,0.8907,2007,FALSE,312.62,Boston
3GP,0.4705,2007,FALSE,318.78,Boston
3GR,0.5445,2007,FALSE,525.78,Boston
3GT,0.5607,2007,FALSE,311.55,Boston
3GU,0.5763,2007,TRUE,341.64,Boston
4VR,-1,2007,FALSE,328.32,Boston
4VT,0.888888889,2007,FALSE,383.83,Boston
4VU,-1,2007,FALSE,736.88,Boston
4T1,-1,2007,TRUE,687.57,Boston
393,0.6678,2007,TRUE,678.6,Boston
3F3,0.9008,2007,FALSE,779.58,Boston
AWQ,0.9945,2007,FALSE,7256.3,Boston
4EW,0.7837,2007,FALSE,646.6,Boston
8XX,0.9632,2007,FALSE,2150.64,Boston
39T,0.7141,2007,FALSE,3288.72,Boston
39V,0.934,2007,FALSE,852.14,Boston
39X,0.9517,2007,FALSE,1368.5,Boston
3A0,0.7032,2007,FALSE,2939.85,Boston
3A1,0.9668,2007,FALSE,1007.75,Boston
39M,0.5055,2007,FALSE,1181.18,Boston
3AK,0.7664,2007,FALSE,633.6,Revere
3AM,0.7337,2007,FALSE,1337.97,Revere
3AN,0.9294,2007,FALSE,3974.4,Revere
3AP,0.7448,2007,FALSE,983.66,Revere
39H,0.7553,2007,FALSE,903.04,Revere
3FP,0.9043,2007,FALSE,80.04,Revere
4U9,0.814814815,2007,FALSE,250.58,Revere
ATA,0.6697,2007,FALSE,500.85,Revere
49F,0.8114,2007,TRUE,726.18,Rockland
49G,0.807,2007,TRUE,726.18,Rockland
30P,1,2007,FALSE,153.45,Rockport
2UN,0.190000075,2007,TRUE,133.59,Salem
2QG,1,2007,FALSE,146.78,Salem
2QE,0.9688,2007,FALSE,817.89,Salem
31M,0.9969,2007,FALSE,311.26,Salem
2QF,0.7933,2007,FALSE,429.2,Salem
32Q,1,2007,FALSE,301.35,Salem
32V,0.6701,2007,FALSE,397.1,Salem
32R,0.6706,2007,FALSE,5384.7,Salem
32T,0.4853,2007,FALSE,930.41,Salem
32U,0.7,2007,FALSE,3352.8,Salem
AV1,0.9893,2007,FALSE,507.84,Salem
2QH,0.7001,2007,FALSE,137.56,Salem
2TL,0.6507,2007,FALSE,319.95,Saugus
39K,0.8251,2007,TRUE,243.2,Saugus
2QQ,1,2007,FALSE,162.5,Saugus
2QP,1,2007,FALSE,144.64,Saugus
31Y,0.9471,2007,FALSE,491.05,Saugus
31C,0.7479,2007,FALSE,806.13,Saugus
320,0.9941,2007,FALSE,689.7,Saugus
31V,0.7663,2007,FALSE,877.85,Saugus
3AQ,0.6596,2007,FALSE,340.86,Saugus
42C,0.6446,2007,FALSE,144.72,Scituate
9PU,0,2007,FALSE,332,Scituate
76Q,0.9622,2007,FALSE,65.52348205,Scituate
40Q,0.7773,2007,FALSE,257.28,Sharon
40N,0.9998,2007,FALSE,97.9,Sharon
ACY,1,2007,FALSE,1015.92,Sharon
3VQ,0.7977,2007,FALSE,785.23,Sharon
3VP,0.990100111,2007,FALSE,818.01,Sharon
3PT,0.556,2007,FALSE,1061.67,Sharon
3PR,0.5688,2007,FALSE,821.73,Sharon
3PQ,0.5519,2007,FALSE,1576.38,Sharon
3R8,0.7421,2007,FALSE,964.44,Sharon
3R9,0.7444,2007,FALSE,875.52,Sharon
3Y8,0.6558,2007,FALSE,649.76,Sharon
3R7,0.6823,2007,FALSE,610.47,Sharon
3VX,0.5876,2007,FALSE,441.14,Sharon
3VY,0.5643,2007,FALSE,431.48,Sharon
40P,0.9492,2007,FALSE,439.5,Sharon
22E,0.2399,2007,TRUE,57.4,Sherborn
3G2,0.7698,2007,TRUE,491.92,Somerville
3G3,0.8557,2007,FALSE,306.27,Somerville
3G4,0.9578,2007,FALSE,694.64,Somerville
3G5,0.875,2007,FALSE,331.8,Somerville
3G6,0.873,2007,FALSE,305.73,Somerville
3G7,0.7369,2007,FALSE,298.84,Somerville
AW2,1,2007,FALSE,321.16,Somerville
AE7,1,2007,FALSE,279.66,Somerville
3GA,0.92,2007,FALSE,504,Somerville
3GG,1,2007,FALSE,179.58,Somerville
3GF,0.567,2007,FALSE,611.1,Somerville
3GE,0.9853,2007,FALSE,358.38,Somerville
3GD,0.8217,2007,FALSE,302.9,Somerville
3GC,0.601,2007,FALSE,431.43,Somerville
3GB,1,2007,FALSE,181.78,Somerville
4.00E+02,0.0533,2007,FALSE,1743.7,Somerville
4.00E+03,0.7713,2007,FALSE,3266.92,Somerville
4.00E+04,0.538,2007,TRUE,552.75,Somerville
3BN,0.7948,2007,FALSE,1110.88,Somerville
3BH,0.7309,2007,FALSE,30396.56,Somerville
4.00E+01,0.8463,2007,FALSE,113.68,Somerville
3BL,0.9744,2007,FALSE,1335.84,Somerville
3BJ,0.841000731,2007,FALSE,1550.56,Somerville
3BK,0.9785,2007,FALSE,1326.78,Somerville
3A4,0.8369,2007,FALSE,603.48,Somerville
4.00E+05,0.5649,2007,FALSE,2060.24,Somerville
4.00E+06,0.634299571,2007,FALSE,3312.4,Somerville
23H,0.8333,2007,FALSE,119.56,Southborough
23J,1,2007,FALSE,382.52,Southborough
23K,0.5922,2007,FALSE,138.04,Southborough
23L,0.9925,2007,FALSE,160.65,Southborough
207,0.8851,2007,FALSE,489.6,Southborough
4D0,1,2007,FALSE,161.33,Southborough
1U7,0.9365,2007,FALSE,615.6,Southborough
1U8,0.9201,2007,FALSE,593.37,Southborough
1U9,0.7125,2007,FALSE,1667.25,Southborough
1UA,0.7442,2007,FALSE,1745.91,Southborough
1UB,0.8387,2007,TRUE,605.34,Southborough
1UC,0.8997,2007,FALSE,542.7,Southborough
1YT,0.9998,2007,FALSE,106.4,Southborough
4NR,-1,2007,FALSE,240.8,Southborough
4NT,-1,2007,FALSE,240.8,Southborough
4NP,-1,2007,FALSE,603.72,Southborough
4NQ,-1,2007,FALSE,574.48,Southborough
4NM,-1,2007,FALSE,220.16,Southborough
4NN,-1,2007,FALSE,220.16,Southborough
2HM,0.6237,2007,FALSE,467.18,Stoneham
2L2,0.7521,2007,FALSE,1960.78,Stoneham
2HN,0.8946,2007,FALSE,1973.4,Stoneham
2M5,0.4431,2007,FALSE,942.48,Stoneham
3MM,0.9917,2007,FALSE,736.44,Stoughton
3WH,0.7539,2007,TRUE,2141.04,Stoughton
28E,0.6504,2007,FALSE,709.66,Stow
264,0.9933,2007,FALSE,59.25,Stow
262,0.9952,2007,FALSE,110.96,Stow
28N,0.9785,2007,FALSE,122.72,Stow
7Q8,0.9139,2007,FALSE,56.73,Stow
28D,0.9912,2007,FALSE,110.16,Stow
263,0.2838,2007,TRUE,60.35,Stow
265,0.5883,2007,TRUE,90.09,Stow
24W,0.999,2007,FALSE,284.54,Sudbury
29Y,0.9652,2007,FALSE,143.99,Sudbury
26Q,0.947,2007,FALSE,84.68,Sudbury
24U,0.9924,2007,FALSE,82.72,Sudbury
24V,0.7086,2007,FALSE,78.11,Sudbury
AMW,0.9511,2007,FALSE,232.26,Swampscott
32Y,0.93,2007,FALSE,194.56,Swampscott
2RM,0.9804,2007,TRUE,232.18,Topsfield
2TH,0.8395,2007,FALSE,124.12,Topsfield
2Y3,0.7688,2007,FALSE,143.08,Topsfield
2TJ,0.6714,2007,FALSE,70.35,Topsfield
2RP,0.5101,2007,FALSE,131.14,Topsfield
2RN,0.9272,2007,FALSE,80.08,Topsfield
2RL,0.6811,2007,FALSE,139.32,Topsfield
AL9,0.6529,2007,FALSE,145.6,Wakefield
2P2,0.9667,2007,FALSE,203.04,Wakefield
2FJ,0.988,2007,FALSE,538.78,Wakefield
2FE,0.6292,2007,FALSE,348.21,Wakefield
2FL,0.7593,2007,FALSE,956.76,Wakefield
2FK,0.7658,2007,FALSE,1059.94,Wakefield
2FH,0.9015,2007,FALSE,1005.73,Wakefield
2FG,0.9103,2007,FALSE,912.78,Wakefield
2FF,0.7438,2007,FALSE,811.8,Wakefield
2MF,0.7533,2007,FALSE,669.5,Wakefield
2DC,0.9823,2007,FALSE,104.55,Wakefield
410,0.798,2007,FALSE,223.26,Walpole
415,0.9005,2007,FALSE,199.95,Walpole
414,0.9088,2007,FALSE,187.33,Walpole
413,0.8198,2007,FALSE,563.29,Walpole
40X,0.7299,2007,FALSE,418.7,Walpole
40Y,0.6552,2007,FALSE,498.6,Walpole
411,1,2007,FALSE,261.3,Walpole
412,0.986,2007,FALSE,270.9,Walpole
3KB,0.9138,2007,TRUE,155.1,Walpole
3KD,0.634,2007,FALSE,56.42,Walpole
3M9,0.9747,2007,FALSE,103.36,Walpole
3KF,0.69249953,2007,FALSE,67.2,Walpole
3M8,0.5503,2007,FALSE,98.82,Walpole
3KG,0.8628,2007,FALSE,67.9,Walpole
3WL,0.9906,2007,FALSE,1484.36,Walpole
3KC,0.3932,2007,FALSE,84.84,Walpole
3KE,0.677,2007,FALSE,94.72,Walpole
3PU,0.9257,2007,FALSE,115.5978166,Walpole
2C8,0.4969,2007,FALSE,547.76,Waltham
2KG,0.671,2007,FALSE,345.24,Waltham
2C9,0.7662,2007,FALSE,877.18,Waltham
2CA,0.72,2007,FALSE,1372,Waltham
2CB,0.9949,2007,FALSE,554.76,Waltham
2D6,0.6953,2007,TRUE,94.24,Waltham
AL5,1,2007,FALSE,257.28,Waltham
2NJ,0.6737,2007,FALSE,123.76,Waltham
2NK,0.7233,2007,FALSE,118.65,Waltham
2NH,0.7677,2007,FALSE,1846.67,Waltham
AWW,0.7152,2007,FALSE,122.2,Waltham
2CD,0.669999901,2007,FALSE,85.88,Waltham
2LE,0.962,2007,FALSE,1296.9,Waltham
2M7,0.736399199,2007,FALSE,1269.1,Waltham
2F2,0.9736,2007,FALSE,3148.6,Waltham
2K3,0.7283,2007,FALSE,1228.4,Waltham
2F1,0.670000076,2007,FALSE,381.04,Waltham
2.00E+03,0.7221,2007,FALSE,1053.27,Waltham
